question_id,question,human_answer,human_attribution,model_answer,model_attribution
32,"Wanneer wordt een handelsvergunning voor geneesmiddelen geschorst, ingetrokken of gewijzigd door het college?","Het College schorst een handelsvergunning, wijzigt deze of trekt deze in indien: a. het geneesmiddel schadelijk is, b. de therapeutische werking ontbreekt dan wel indien de afweging van voordelen en risicoâ€™s niet gunstig is, c. het geneesmiddel niet de opgegeven kwalitatieve en kwantitatieve eigenschappen bezit, d. de krachtens artikel 42 overgelegde gegevens en bescheiden onjuist zijn of niet zijn gewijzigd overeenkomstig artikel 49, e. de in artikel 28, eerste lid, bedoelde controles niet hebben plaatsgevonden, f. de etikettering of de bijsluiter niet voldoet aan de daaromtrent in hoofdstuk 7 gestelde eisen, g. niet aan voorschriften gesteld krachtens artikel 45a of 45b is voldaan, h. de houder van de handelsvergunning de in hoofdstuk 8 neergelegde verplichtingen niet nakomt, i. indien de coÃ¶rdinatiegroep zulks op grond van artikel 107octies van richtlijn 2001/83 heeft besloten, of j. indien de bereiding of kwaliteitscontrole door de fabrikant niet in overeenstemming is met de eisen zoals beschreven in het dossier op grond waarvan de desbetreffende handelsvergunning is verleend.","DOC1366, DOC1367",,
33,Wanneer is publieksreclame voor geneesmiddelen verboden?,"Publieksreclame is verboden voor geneesmiddelen die: a. uitsluitend op recept ter hand mogen worden gesteld; b. zonder recept ter hand mogen worden gesteld en middelen bevatten als bedoeld in lijst I of II van de Opiumwet. Publieksreclame is verboden indien deze vermeldt dan wel door zijn formuleringen of afbeeldingen de indruk wekt dat: a. het gebruik van het geneesmiddel een geneeskundig onderzoek of een chirurgische ingreep overbodig maakt; b. het geneesmiddel geen bijwerkingen kent of dat de werking beter is dan of gelijk is aan de werking van een ander geneesmiddel dan wel een andere geneeskundige behandeling; c. de normale goede gezondheid van een persoon door het gebruik van het geneesmiddel kan worden verbeterd; d. de normale goede gezondheid van een persoon kan worden aangetast wanneer het geneesmiddel niet wordt gebruikt; e. de veiligheid of de werkzaamheid van het geneesmiddel te danken is aan het feit dat het om een natuurlijke stof gaat. Publieksreclame is voorts verboden indien: a. deze uitsluitend of voornamelijk is gericht op kinderen; b. deze een aanprijzing dan wel een verwijzing naar een aanprijzing bevat van wetenschapsbeoefenaren, beroepsbeoefenaren of bij het publiek bekende personen; c. daarin het geneesmiddel gelijk wordt gesteld met een voedingsmiddel, een cosmetisch product of andere waren; d. deze door de beschrijving of de gedetailleerde uitbeelding van een ziektegeschiedenis tot een verkeerde zelfdiagnose kan leiden; e. daarin op misleidende wijze wordt verwezen naar  genezenverklaringen; f. daarin op schrikwekkende of misleidende wijze gebruik wordt gemaakt van uitbeeldingen van veranderingen van het menselijk lichaam ten gevolge van een ziekte of letsel of van de werking van het geneesmiddel in het menselijk lichaam; g. daarin wordt aangegeven dat op verstrekking van het geneesmiddel aanspraak bestaat krachtens de wettelijke sociale ziektekostenverzekeringen.","DOC1423, DOC1426, DOC1427",,
34,Wanneer mogen er gratis monsters van een geneesmiddel gegeven worden?,"Het is verboden gratis monsters van een geneesmiddel af te leveren, tenzij: a. daartoe een gedateerde en persoonlijk ondertekende aanvraag door een beroepsbeoefenaar die bevoegd is UR-geneesmiddelen voor te schrijven is ingediend bij de betrokken ondernemer, b. het monster niet groter is dan de kleinste verpakking die in de handel is, c. aan een beroepsbeoefenaar als bedoeld onder a niet meer dan 2 monsters van hetzelfde geneesmiddel per kalenderjaar worden verstrekt, d. op het monster is vermeld dat het gratis is en niet verkocht mag worden, e. bij het monster een exemplaar van de samenvatting van de kenmerken van het geneesmiddel is gevoegd, en f. degene die het gratis monster verstrekt, een administratie bijhoudt waarin is vastgelegd aan wie, op welke datum en in welke hoeveelheid het is verstrekt.",DOC1431,,
35,Wat zijn de vereisten tot het aangaan van een huwelijk?,"Om een huwelijk te mogen aangaan moeten een man een vrouw de leeftijd van achttien jaren hebben bereikt. Een huwelijk mag niet worden aangegaan, wanneer de geestvermogens van een partij zodanig zijn gestoord, dat deze niet in staat is haar wil te bepalen of de betekenis van haar verklaring te begrijpen. Een persoon kan tegelijkertijd slechts met Ã©Ã©n ander persoon door het huwelijk verbonden zijn. Een huwelijk mag niet worden gesloten tussen hen die elkaar, hetzij van nature hetzij familierechterlijk, bestaan in de opgaande en in de nederdalende lijn of als broeders, zusters of broeder en zuster. Een huwelijk mag niet worden gesloten tussen hen die elkander, hetzij van nature hetzij familierechtelijk, als bloedverwanten bestaan in de derde of vierde graad in de zijlinie, tenzij de aanstaande echtgenoten bij de ambtenaar van de burgerlijke stand ieder een beÃ«digde verklaring hebben afgelegd, inhoudende dat zij hun vrije toestemming tot het huwelijk geven.","DOC0131, DOC0132, DOC0133, DOC0141, DOC0142",,
36,Wanneer kan een huwelijk worden gestuit?,"Een huwelijk kan worden gestuit wanneer partijen niet de vereisten in zich verenigen om een huwelijk aan te gaan, of wanneer partijen niet beiden hun vrije toestemming tot het huwelijk zullen geven dan wel wanneer het oogmerk van de aanstaande echtgenoten, of Ã©Ã©n hunner, niet is gericht op de vervulling van de door de wet aan de huwelijkse staat verbonden plichten, doch op het verkrijgen van toelating tot Nederland.",DOC0156,,
37,Wanneer kan een partnerregistratie worden gestuit?,"Een partnerschapsregistratie kan worden gestuit, indien partijen niet de vereisten in zich verenigen om de registratie aan te gaan, of wanneer partijen niet beiden hun toestemming tot het geregistreerd partnerschap vrijelijk zullen geven, dan wel wanneer het oogmerk van de aanstaande geregistreerde partners, of Ã©Ã©n hunner, niet is gericht op de vervulling van de door de wet aan de partnerschapsregistratie verbonden plichten, doch op het verkrijgen van toelating tot Nederland. Op een stuiting zijn de artikelen 51, 52, 53, tweede tot en met vierde lid, en 54 tot en met 56 van overeenkomstige toepassing. Het openbaar ministerie is verplicht een partnerschapsregistratie te stuiten, indien het met een van de in de artikelen 31, 32, 41 en in het eerste en tweede lid van dit artikel omschreven beletselen bekend is. Indien aan de ambtenaar van de burgerlijke stand een van de in de vorige zin genoemde beletselen bekend is, of wanneer partijen niet beiden hun toestemming tot het geregistreerd partnerschap vrijelijk zullen geven, mag hij niet meewerken aan een registratie of daaraan voorafgaande formaliteiten verrichten, ook al zou geen stuiting hebben plaatsgehad.","DOC0190, DOC0191",,
38,Wanneer eindigt geregistreerd partnerschap?,"Het geregistreerd partnerschap eindigt: a. door de dood; b. indien degene ten aanzien van wie, overeenkomstig de bepalingen van de tweede afdeling van de achttiende titel van dit boek de vermissing is vastgesteld, dan wel overeenkomstig de bepalingen van de derde afdeling van de achttiende titel van dit boek het overlijden is vastgesteld, nog in leven is op de dag waarop de achtergebleven geregistreerde partner een nieuw geregistreerd partnerschap of huwelijk is aangegaan: door de voltrekking van dit geregistreerd partnerschap of huwelijk; c. met wederzijds goedvinden door inschrijving door de ambtenaar van de burgerlijke stand van een door beide partners en een of meer advocaten of notarissen ondertekende en gedateerde verklaring waaruit blijkt dat en op welk tijdstip de partners omtrent de beÃ«indiging van het geregistreerd partnerschap een overeenkomst hebben gesloten. d. door ontbinding op verzoek van de partners of een van hen; e. door omzetting van een geregistreerd partnerschap in een huwelijk.",DOC0193,,
39,Wanneer wordt de gemeenschap van rechtswege ontbonden?,"De gemeenschap wordt van rechtswege ontbonden: a. in geval van het eindigen van het huwelijk of het geregistreerd partnerschap door overlijden: op het tijdstip van overlijden; b. in geval van beÃ«indiging van het huwelijk door echtscheiding of ontbinding van het geregistreerd partnerschap door de rechter: op het tijdstip van indiening van het verzoek tot echtscheiding onderscheidenlijk indiening van het verzoek tot ontbinding van het geregistreerd partnerschap; c. in geval van scheiding van tafel en bed: op het tijdstip van indiening van het verzoek tot scheiding van tafel en bed; d. in geval van opheffing van de gemeenschap door een beschikking: op het tijdstip van indiening van het verzoek tot opheffing van de gemeenschap; e. in geval van beÃ«indiging van het geregistreerd partnerschap met wederzijds goedvinden: op het tijdstip waarop de overeenkomst tot beÃ«indiging wordt gesloten; f. in geval van vermissing en een daarop gevolgd huwelijk of geregistreerd partnerschap: op het tijdstip waarop de beschikking, bedoeld in artikel 417, eerste lid, in kracht van gewijsde is gegaan; g. in geval van opheffing bij latere huwelijkse voorwaarden: op het tijdstip, bedoeld in artikel 120, eerste lid.","DOC0237, DOC0238",,
40,Wat zijn de voorwaarden van adoptie?,"Voorwaarden voor adoptie zijn: a. dat het kind op de dag van het eerste verzoek minderjarig is, en dat het kind, indien het op de dag van het verzoek twaalf jaren of ouder is, ter gelegenheid van zijn verhoor niet van bezwaren tegen toewijzing van het verzoek heeft doen blijken; hetzelfde geldt, indien de rechter is gebleken van bezwaren tegen toewijzing van het verzoek van een minderjarige die op de dag van het verzoek de leeftijd van twaalf jaren nog niet heeft bereikt, maar in staat kan worden geacht tot een redelijke waardering van zijn belangen ter zake; b. dat het kind niet is een kleinkind van een adoptant; c. dat de adoptant of ieder der adoptanten ten minste achttien jaren ouder dan het kind is; d. dat geen der ouders het verzoek tegenspreekt; e. dat de minderjarige moeder van het kind op de dag van het verzoek de leeftijd van zestien jaren heeft bereikt; f. dat de adoptant of de adoptanten het kind gedurende ten minste een jaar heeft of hebben verzorgd en opgevoed; indien de echtgenoot, geregistreerde partner of andere levensgezel van de ouder of adoptiefouder het kind adopteert en zij gezamenlijk het kind gedurende ten minste een jaar hebben verzorgd en opgevoed wordt de periode van een jaar voor de echtgenoot, geregistreerde partner of andere levensgezel gerekend vanaf het moment van feitelijk gezamenlijk verzorgen en opvoeden; g. dat de ouder of ouders niet of niet langer het gezag over het kind hebben. Indien evenwel de echtgenoot, geregistreerde partner of andere levensgezel van de ouder het kind adopteert, geldt dat deze ouder alleen of samen met voornoemde echtgenoot, geregistreerde partner of andere levensgezel het gezag heeft.","DOC0395, DOC0396",,
41,Wanneer kan de rechter na ontbinding van het huwelijk anders dan de dood of na scheiding van tafel en bed op verzoek van de ouders of van Ã©Ã©n van hen bepalen dat gezag over een kind aan ouder toekomt?,"De rechter kan na ontbinding van het huwelijk anders dan door de dood of na scheiding van tafel en bed op verzoek van de ouders of van Ã©Ã©n van hen bepalen dat het gezag over een kind aan Ã©Ã©n ouder toekomt indien: a. er een onaanvaardbaar risico is dat het kind klem of verloren zou raken tussen de ouders en niet te verwachten is dat hierin binnen afzienbare tijd voldoende verbetering zou komen, of b. wijziging van het gezag anderszins in het belang van het kind noodzakelijk is.",DOC0434,,
42,Wanneer kan de rechtbank het gezag van een ouder beÃ«indigen?,"De rechtbank kan het gezag van een ouder beÃ«indigen indien: a. een minderjarige zodanig opgroeit dat hij in zijn ontwikkeling ernstig wordt bedreigd, en de ouder niet de verantwoordelijkheid voor de verzorging en opvoeding, bedoeld in artikel 247, tweede lid, in staat is te dragen binnen een voor de persoon en de ontwikkeling van de minderjarige aanvaardbaar te achten termijn, of b. de ouder het gezag misbruikt.",DOC0513,,
43,Wanneer kan de rechtbank een ouder geheel of gedeeltelijk in de uitoefening van het gezag schorsen?,"De rechtbank kan een ouder geheel of gedeeltelijk in de uitoefening van het gezag schorsen indien: a. een ernstig vermoeden bestaat dat de grond, bedoeld in artikel 266, eerste lid, aanhef en onder a of b is vervuld en de maatregel noodzakelijk is om een acute en ernstige bedreiging voor de minderjarige weg te nemen, of b. een medische behandeling van een minderjarige jonger dan twaalf jaar of van de minderjarige van twaalf jaar of ouder die niet in staat kan worden geacht tot een redelijke waardering van zijn belangen terzake, noodzakelijk is om ernstig gevaar voor diens gezondheid af te wenden en een ouder die het gezag uitoefent toestemming daarvoor weigert.",DOC0517,,
44,"Wanneer kan de rechtbank een ouder wiens gezag is beÃ«indigd, op zijn verzoek in het gezag herstellen?","De rechtbank kan de ouder wiens gezag is beÃ«indigd, op zijn verzoek in het gezag herstellen indien: a. herstel in het gezag in het belang van de minderjarige is, en b. de ouder duurzaam de verantwoordelijkheid voor de verzorging en opvoeding van de minderjarige, bedoeld in artikel 247, tweede lid, in staat is te dragen.",DOC0529,,
45,"Wat zijn de omstandigheden waarin een verzoek tot wijziging van de geslachtsnaam van een kind wordt afgewezen, rekening houdend met het feit dat de voogdij door de voogd en een andere persoon die in een nauwe persoonlijke betrekking tot het kind staat, gezamenlijk wordt uitgeoefend?","Een verzoek als bedoeld in het eerste lid kan vergezeld gaan van een verzoek tot wijziging van de geslachtsnaam van het kind in de geslachtsnaam van een van de voogden, van beide voogden of van een voogd en de oorspronkelijke geslachtsnaam van het kind, in een vrij te bepalen volgorde. Artikel 5, veertiende lid, is van overeenkomstige toepassing. Een zodanig verzoek wordt afgewezen, indien: a. het kind van twaalf jaar of ouder ter gelegenheid van zijn verhoor niet heeft ingestemd met het verzoek; b. het verzoek tot gezamenlijke voogdij wordt afgewezen; of c. het belang van het kind zich tegen toewijzing verzet.",DOC0536,,
46,Wanneer kan een voogd zich van zijn bediening doen ontslaan?,"Iedere voogd kan zich van zijn bediening doen ontslaan, indien: a. hij aantoont, dat hij tengevolge van een sedert de aanvang van zijn bediening opgekomen geestelijk of lichamelijk gebrek niet meer in staat is deze waar te nemen; b. hij de pensioengerechtigde leeftijd, bedoeld in artikel 7a, eerste lid, van de Algemene Ouderdomswet, heeft bereikt; c. een daartoe bevoegd persoon zich schriftelijk heeft bereid verklaard de voogdij over te nemen, en de rechtbank deze overneming in het belang van de minderjarigen acht.",DOC0583,,
47,Wanneer kan de rechtbank de voogdij van een natuurlijk persoon beÃ«indigen?,"De rechtbank kan de voogdij van een natuurlijk persoon beÃ«indigen indien: a. een minderjarige zodanig opgroeit dat hij in zijn ontwikkeling ernstig wordt bedreigd, en de voogd niet de verantwoordelijkheid voor de verzorging en opvoeding, bedoeld in artikel 247, tweede lid, in staat is te dragen binnen een voor de persoon en de ontwikkeling van de minderjarige aanvaardbaar te achten termijn, of b. de voogd het gezag misbruikt, of c. niet beschikt over de ingevolge artikel 2 van de Wet opneming buitenlandse kinderen ter adoptie vereiste beginseltoestemming.",DOC0588,,
48,Wanneer kan de rechtbank een met de voogdij belaste natuurlijk persoon gedeeltelijk of geheel in de uitoefening van het gezag schorsen?,"De rechtbank kan een met de voogdij belaste natuurlijke persoon geheel of gedeeltelijk in de uitoefening van het gezag schorsen indien: a. een ernstig vermoeden bestaat dat de grond, bedoeld in artikel 266, eerste lid, aanhef en onder a of b is vervuld en de maatregel noodzakelijk is om een acute en ernstige bedreiging voor de minderjarige weg te nemen, of b. een medische behandeling van een minderjarige jonger dan twaalf jaar of van de minderjarige van twaalf jaar of ouder die niet in staat kan worden geacht tot een redelijke waardering van zijn belangen terzake, noodzakelijk is om ernstig gevaar voor diens gezondheid af te wenden en de voogd toestemming daarvoor weigert.",DOC0592,,
49,Slechts wanneer kan de rechter het recht op omgang ontzeggen?,"De rechter ontzegt het recht op omgang slechts, indien: a. omgang ernstig nadeel zou opleveren voor de geestelijke of lichamelijke ontwikkeling van het kind, of b. de ouder of degene die in een nauwe persoonlijke betrekking staat tot het kind kennelijk ongeschikt of kennelijk niet in staat moet worden geacht tot omgang, of c. het kind dat twaalf jaren of ouder is, bij zijn verhoor van ernstige bezwaren tegen omgang met zijn ouder of met degene met wie hij in een nauwe persoonlijke betrekking staat heeft doen blijken, of d. omgang anderszins in strijd is met zwaarwegende belangen van het kind.","DOC0649, DOC0650",,
50,Wanneer eindigt de curatele?,"De curatele eindigt: a. door het verstrijken van de tijdsduur waarvoor zij is ingesteld, b. door de dood van de betrokken persoon, of c. indien ten behoeve van hem bij in kracht van gewijsde gegane rechterlijke uitspraak ter vervanging van curatele een bewind als bedoeld in titel 19 dan wel een mentorschap als bedoeld in titel 20 is ingesteld.",DOC0683,,
51,Wanneer eindigt het bewind?,Het bewind eindigt: a. door een gezamenlijk besluit van de rechthebbende en de bewindvoerder; b. door opzegging door de rechthebbende aan de bewindvoerder met inachtneming van een termijn van een maand; c. wanneer de dood van de rechthebbende komt vast te staan.,DOC0721,,
52,Wanneer kan de rechtbank verklaren dat een vermist persoon is overleden?,"Indien het lichaam van een vermist persoon niet is kunnen worden teruggevonden doch, alle omstandigheden in aanmerking genomen, zijn overlijden als zeker kan worden beschouwd, kan op verzoek van het openbaar ministerie of van iedere belanghebbende de rechtbank verklaren dat de vermiste is overleden: A. indien de vermissing heeft plaatsgevonden in Nederland; B. indien de vermissing heeft plaatsgevonden tijdens een reis met een in Nederland thuisbehorend schip of luchtvaartuig; C. indien de vermiste Nederlander was; D. indien de vermiste zijn woon- of verblijfplaats had in Nederland.",DOC0741,,
53,Wanneer eindigt de taak van de bewindvoerder?,"De taak van de bewindvoerder eindigt: a. bij het einde van het bewind; b. door tijdsverloop, indien hij voor een bepaalde tijd was benoemd; c. door zijn dood, het ten aanzien van hem van toepassing verklaren van de schuldsaneringsregeling natuurlijke personen, zijn faillietverklaring of zijn ondercuratelestelling; d. door de instelling van een bewind als bedoeld in deze titel over Ã©Ã©n of meer van zijn goederen; e. door ontslag dat hem door de kantonrechter met ingang van een door deze bepaalde dag wordt verleend.",DOC0779,,
54,Wanneer eindigt de taak van de mentor?,"De taak van de mentor eindigt: a. bij het einde van het mentorschap; b. door tijdsverloop, indien hij voor een bepaalde tijd was benoemd; c. door zijn dood; d. door zijn ondercuratelestelling of door instelling van een mentorschap te zijnen behoeve; e. door ontslag dat hem door de kantonrechter met ingang van een door deze bepaalde dag wordt verleend.",DOC0805,,
55,Wanneer wordt een leerling toegelaten tot een speciale school voor basisonderwijs?,"Een leerling wordt slechts toegelaten tot een speciale school voor basisonderwijs nadat de leerling toelaatbaar is verklaard tot het onderwijs aan een speciale school voor basisonderwijs. De beslissing over de toelaatbaarheid is geen besluit als bedoeld in artikel 8:4, derde lid, onderdeel b, van de Algemene wet bestuursrecht. Deze beslissing wordt genomen: a. indien de leerling onmiddellijk voorafgaand aan de toelating was ingeschreven op een basisschool: door het samenwerkingsverband waartoe die school behoort; b. indien de leerling onmiddellijk voorafgaand aan de toelating niet was ingeschreven op een basisschool: 1Â°. door het samenwerkingsverband in het gebied waar de leerling woont; 2Â°. door het samenwerkingsverband waartoe de speciale school voor basisonderwijs, waarvoor toelating wordt verzocht behoort, indien de leerling buiten Nederland woont; c. indien de leerling onmiddellijk voorafgaand aan de toelating niet was ingeschreven op een basisschool en de leerling was aangemeld bij een speciale school voor basisonderwijs, die behoort tot een landelijk samenwerkingsverband, bedoeld in artikel 18a, vijftiende lid: door het landelijk samenwerkingsverband waartoe de speciale school voor basisonderwijs, waar de leerling was aangemeld, behoort.","DOC3529, DOC3530",,
56,"Wanneer kan bevoegd gezag, mede op basis van de gegevens van de toetsen, bepalen dat door een leerling geen doorstroom toets wordt afgelegd?","Het bevoegd gezag kan, mede op basis van de gegevens van de toetsen, bedoeld in artikel 45b, eerste lid, bepalen dat door een leerling geen doorstroomtoets wordt afgelegd, indien de leerling: a. Zeer moeilijk lerend is; b. Meervoudig gehandicapt is en voor wie het zeer moeilijk lerend zijn een van de handicaps is; of c. Vier jaar of korter in Nederland is en om die reden de Nederlandse taal onvoldoende beheerst.",DOC3555,,
57,Wanneer neemt de bekostiging van een nevenvestiging van een school aanvang met ingang van 1 augustus?,"De bekostiging van een nevenvestiging van een school neemt een aanvang met ingang van 1 augustus indien: a. 1Â°. de nevenvestiging, onmiddellijk voorafgaand aan het tijdstip van ingang van de bekostiging als nevenvestiging, bekostigd werd als een zelfstandige school, of 2Â°. de nevenvestiging voor bekostiging in aanmerking kwam als nevenvestiging van de voormalige school bedoeld onder 1Â°, b. ingeval het betreft een nevenvestiging van een openbare school die in stand wordt gehouden door een andere rechtspersoon dan de gemeente op wier grondgebied de nevenvestiging is gelegen, die gemeente bij notariÃ«le akte de instandhouding van de school die nevenvestiging is geworden, heeft overgedragen aan die andere rechtspersoon, en c. van de omvorming tot nevenvestiging voor 1 februari voorafgaand aan de datum, bedoeld in de aanhef, mededeling is gedaan aan Onze Minister, en indien het betreft een situatie als bedoeld onder b, onder overlegging van de gegevens waaruit blijkt dat aan het vereiste onder b is voldaan.",DOC3659,,
58,Wanneer wordt de bekostiging van een bijzondere nevenvestiging beÃ«indigd of een openbare nevenvestiging opgeheven?,"De bekostiging van een bijzondere nevenvestiging wordt beÃ«indigd of een openbare nevenvestiging wordt opgeheven indien de nevenvestiging gedurende 3 achtereenvolgende schooljaren op de teldatum 1 oktober niet heeft voldaan of geacht wordt niet te hebben voldaan aan een van de volgende voorwaarden: a. het aantal leerlingen van de nevenvestiging bedraagt ten minste 23 en binnen een straal van 2 km bevindt zich geen school, b. het aantal leerlingen van de nevenvestiging bedraagt ten minste 50 en binnen een straal van 3 km bevindt zich geen school waar onderwijs wordt gegeven van dezelfde richting onderscheidenlijk waar openbaar onderwijs wordt gegeven, c. het aantal leerlingen van de nevenvestiging bedraagt ten minste 23 en binnen een straal van 5 km bevindt zich geen school waar onderwijs wordt gegeven van dezelfde richting onderscheidenlijk waar openbaar onderwijs wordt gegeven, d. binnen 10 km van de openbare nevenvestiging over de weg gemeten, is geen andere school aanwezig waarbinnen openbaar onderwijs wordt gegeven, of e. bij het gelijkstellen van de nevenvestiging met een zelfstandige school zou deze met toepassing van artikel 143 en onder vervanging van het getal 290 in dat artikel door 260, voor bekostiging in aanmerking komen.","DOC3819, DOC3820",,
59,Wanneer plaatst het bevoegd gezag een leerling in een tijdelijke nieuwkomersvoorziening?,"Het bevoegd gezag plaatst een leerling alleen in een tijdelijke nieuwkomersvoorziening als: a. de leerling een nieuwkomer is; en b. de leerling niet eerder was ingeschreven op een school voor basisonderwijs, speciale school voor basisonderwijs, school voor speciaal onderwijs, school voor voortgezet speciaal onderwijs, school voor speciaal en voortgezet speciaal onderwijs of een school voor voortgezet onderwijs.",DOC3926,,
60,Wanneer kan een machtiging voor een jeugdige die de leeftijd van achttien jaar nog niet bereikt heeft worden verleend?,"Een machtiging kan slechts worden verleend indien naar het oordeel van de kinderrechter: a. jeugdhulp noodzakelijk is in verband met ernstige opgroei- of opvoedingsproblemen die de ontwikkeling van de jeugdige naar volwassenheid ernstig belemmeren; b. de opneming en het verblijf noodzakelijk en geschikt zijn om te voorkomen dat de jeugdige zich aan deze jeugdhulp onttrekt of daaraan door anderen wordt onttrokken; en c. er geen minder ingrijpende mogelijkheden zijn om de opgroei- en opvoedingsproblemen te behandelen. Een machtiging voor een jeugdige die de leeftijd van achttien jaar nog niet heeft bereikt, kan bovendien slechts worden verleend indien: a. de jeugdige onder toezicht is gesteld; b. de voogdij over de jeugdige berust bij een gecertificeerde instelling; of c. degene die, anders dan bedoeld onder b, de wettelijke vertegenwoordiger is, met de opneming en het verblijf instemt.",DOC1778,,
61,Wanneer kan een machtiging voor een jeugdige die de leeftijd van achttien jaar al bereikt heeft worden verleend?,"Een machtiging kan slechts worden verleend indien naar het oordeel van de kinderrechter: a. jeugdhulp noodzakelijk is in verband met ernstige opgroei- of opvoedingsproblemen die de ontwikkeling van de jeugdige naar volwassenheid ernstig belemmeren; b. de opneming en het verblijf noodzakelijk en geschikt zijn om te voorkomen dat de jeugdige zich aan deze jeugdhulp onttrekt of daaraan door anderen wordt onttrokken; en c. er geen minder ingrijpende mogelijkheden zijn om de opgroei- en opvoedingsproblemen te behandelen. Een machtiging voor een jeugdige die achttien jaar is,  kan bovendien slechts worden verleend indien: a. sprake is van een behandeling die reeds aangevangen is voordat de leeftijd van achttien jaar is bereikt; b. voor het bereiken van de leeftijd van achttien jaar een hulpverleningsplan is vastgesteld; c. toegewerkt wordt naar een andere vorm van jeugdhulp dan gesloten jeugdhulp en dit ook blijkt uit het hulpverleningsplan; en d. de gesloten jeugdhulp niet langer duurt dan zes maanden na het bereiken van de leeftijd van achttien jaar.","DOC1778, DOC1779",,
62,Wanneer kan er een spoedmachtiging verleend worden door de kinderrechter om een jeugdige om de jeugdige in kwestie in een gesloten accommodatie te doen opnemen en te doen verblijven?,"Een spoedmachtiging kan slechts worden verleend indien naar het oordeel van de kinderrechter: a. onmiddellijke verlening van jeugdhulp noodzakelijk is in verband met ernstige opgroei- of opvoedingsproblemen van de jeugdige die zijn ontwikkeling naar volwassenheid ernstig belemmeren, of een ernstig vermoeden daarvan; b. de opneming en het verblijf noodzakelijk en geschikt zijn om te voorkomen dat de jeugdige zich aan deze jeugdhulp onttrekt of daaraan door anderen wordt onttrokken; en c. er geen minder ingrijpende mogelijkheden zijn om de opgroei- en opvoedingsproblemen te behandelen.",DOC1781,,
63,Wanneer kan er een voorwaardelijk spoedmachtiging verleend worden door de kinderrechter voor een jeugdige om de jeugdige in kwestie in een gesloten accommodatie te doen opnemen en te doen verblijven?,"Een voorwaardelijke machtiging kan slechts worden verleend, indien naar het oordeel van de kinderrechter: a. De verlening van jeugdhulp noodzakelijk is in verband met ernstige opgroei- of opvoedingsproblemen die de ontwikkeling naar volwassenheid ernstig belemmeren; b. De opneming en het verblijf noodzakelijk en geschikt zijn om te voorkomen dat de jeugdige zich aan deze jeugdhulp onttrekt of daaraan door anderen wordt onttrokken en de ernstige belemmering in de ontwikkeling naar volwassenheid alleen buiten de accommodatie kan worden afgewend door het stellen en naleven van voorwaarden; en c. Er geen minder ingrijpende mogelijkheden zijn om de opgroei- en opvoedingsproblemen te behandelen.",DOC1783,,
64,"Wanneer kan een meldingsbevoegde zonder toestemming van de jeugdige of zijn wettelijk vertegenwoordiger en zo nodig met doorbreken van de op grond van zijn ambt of beroep geldende plicht tot geheimhouding, de jeugdige melden aan de verwijsindex?","Een meldingsbevoegde kan zonder toestemming van de jeugdige of zijn wettelijk vertegenwoordiger en zo nodig met doorbreking van de op grond van zijn ambt of beroep geldende plicht tot geheimhouding, een jeugdige melden aan de verwijsindex indien hij een redelijk vermoeden heeft dat de jeugdige door een of meer van de hierna genoemde risicoâ€™s in de noodzakelijke condities voor een gezonde en veilige ontwikkeling naar volwassenheid daadwerkelijk wordt bedreigd: a. de jeugdige staat bloot aan geestelijk, lichamelijk of seksueel geweld, enige andere vernederende behandeling, of verwaarlozing; b. de jeugdige heeft meer of andere dan bij zijn leeftijd normaliter voorkomende psychische problemen, waaronder verslaving aan alcohol, drugs of kansspelen; c. de jeugdige heeft meer dan bij zijn leeftijd normaliter voorkomende ernstige opgroei- of opvoedingsproblemen; d. de jeugdige is minderjarig en moeder of zwanger; e. de jeugdige verzuimt veelvuldig van school of andere onderwijsinstelling, dan wel verlaat die voortijdig of dreigt die voortijdig te verlaten; f. de jeugdige is niet gemotiveerd om door legale arbeid in zijn levensonderhoud te voorzien; g. de jeugdige heeft meer of andere dan bij zijn leeftijd normaliter voorkomende financiÃ«le problemen; h. de jeugdige heeft geen vaste woon- of verblijfplaats; i. de jeugdige is een gevaar voor anderen door lichamelijk of geestelijk geweld of ander intimiderend gedrag; j. de jeugdige laat zich in met activiteiten die strafbaar zijn gesteld; k. de ouders of andere verzorgers van de jeugdige schieten ernstig tekort in de verzorging of opvoeding van de jeugdige, of l. de jeugdige staat bloot aan risicoâ€™s die in bepaalde etnische groepen onevenredig vaak voorkomen.","DOC1868, DOC1869",,
